Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35010, Whale, beluga, eyes (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,55.10,
"Energy",kcal,291,
"Protein",g,19.60,
"Total lipid (fat)",g,23.30,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Phosphorus, P",mg,187,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Vitamin A, RAE",µg,561,
"Vitamin A, IU",IU,1870,
Lipids
Amino Acids
Other
"Caffeine",mg,0,
