Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35016, Fish, blackfish, whole (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,80.10,
"Energy",kcal,82,
"Protein",g,15.50,
"Total lipid (fat)",g,1.75,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,236,
"Iron, Fe",mg,4.60,
"Phosphorus, P",mg,287,
Vitamins
"Thiamin",mg,0.010,
"Riboflavin",mg,0.370,
"Niacin",mg,1.900,
"Vitamin A, IU",IU,1202,
Lipids
Amino Acids
Other
