Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35027, Cloudberries, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,87.00,
"Energy",kcal,51,
"Protein",g,2.40,
"Total lipid (fat)",g,0.80,
"Carbohydrate, by difference",g,8.60,
Minerals
"Calcium, Ca",mg,18,
"Iron, Fe",mg,0.70,
"Phosphorus, P",mg,35,
Vitamins
"Vitamin C, total ascorbic acid",mg,158.0,
"Thiamin",mg,0.050,
"Riboflavin",mg,0.070,
"Niacin",mg,0.900,
"Vitamin A, IU",IU,210,
Lipids
Amino Acids
Other
