Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35040, Fish, herring eggs, Pacific, dry (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,27.30,
"Energy",kcal,312,
"Protein",g,60.40,
"Total lipid (fat)",g,6.60,
"Carbohydrate, by difference",g,2.80,
Minerals
"Calcium, Ca",mg,29,
"Phosphorus, P",mg,808,
Vitamins
"Thiamin",mg,0.050,
"Riboflavin",mg,0.170,
"Niacin",mg,4.100,
Lipids
Amino Acids
Other
