Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35042, Fish, herring, Pacific, flesh, air-dried, packed in oil (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,18.20,
"Energy",kcal,489,
"Protein",g,44.50,
"Total lipid (fat)",g,34.60,
"Carbohydrate, by difference",g,0.00,
Minerals
"Phosphorus, P",mg,684,
Vitamins
"Thiamin",mg,0.010,
"Niacin",mg,2.200,
"Vitamin A, IU",IU,1300,
Lipids
Amino Acids
Other
