Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35047, Fish, lingcod, liver (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,45.90,
"Energy",kcal,424,
"Protein",g,5.60,
"Total lipid (fat)",g,42.00,
"Carbohydrate, by difference",g,6.00,
Minerals
"Calcium, Ca",mg,5,
"Iron, Fe",mg,1.00,
"Phosphorus, P",mg,123,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.220,
"Niacin",mg,4.200,
"Vitamin A, IU",IU,9100,
Lipids
Amino Acids
Other
