Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35052, Mouse nuts, roots (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,77.20,
"Energy",kcal,81,
"Protein",g,3.90,
"Total lipid (fat)",g,0.10,
"Carbohydrate, by difference",g,16.10,
Minerals
"Calcium, Ca",mg,22,
"Phosphorus, P",mg,175,
Vitamins
"Vitamin C, total ascorbic acid",mg,16.0,
"Thiamin",mg,0.010,
"Riboflavin",mg,0.040,
"Niacin",mg,0.100,
Lipids
Amino Acids
Other
