Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35063, Rhubarb, wild, leaves (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,83.50,
"Energy",kcal,61,
"Protein",g,4.20,
"Total lipid (fat)",g,0.50,
"Carbohydrate, by difference",g,9.90,
Minerals
"Phosphorus, P",mg,87,
Vitamins
"Vitamin C, total ascorbic acid",mg,33.0,
"Thiamin",mg,0.100,
"Niacin",mg,0.100,
"Vitamin A, IU",IU,4480,
Lipids
Amino Acids
Other
