Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35070, Sea cucumber, yane (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,80.70,
"Energy",kcal,56,
"Protein",g,13.00,
"Total lipid (fat)",g,0.40,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,30,
"Iron, Fe",mg,0.60,
Vitamins
"Thiamin",mg,0.050,
"Riboflavin",mg,0.940,
"Niacin",mg,3.200,
"Vitamin A, IU",IU,310,
Lipids
Amino Acids
Other
