Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35071, Seal, ringed, meat (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,67.40,
"Energy",kcal,142,
"Protein",g,28.40,
"Total lipid (fat)",g,3.20,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,5,
"Iron, Fe",mg,19.60,
"Phosphorus, P",mg,238,
"Sodium, Na",mg,110,
Vitamins
"Thiamin",mg,0.140,
"Riboflavin",mg,0.530,
"Vitamin A, RAE",µg,116,
"Vitamin A, IU",IU,385,
Lipids
"Fatty acids, total saturated",g,0.820,
"Fatty acids, total monounsaturated",g,1.720,
"Fatty acids, total polyunsaturated",g,0.060,
"Cholesterol",mg,90,
Amino Acids
Other
