Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35072, Seal, ringed, liver (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,74.20,
"Energy",kcal,116,
"Protein",g,18.60,
"Total lipid (fat)",g,3.30,
"Carbohydrate, by difference",g,2.90,
Minerals
"Calcium, Ca",mg,13,
"Iron, Fe",mg,13.50,
"Phosphorus, P",mg,3,
Vitamins
"Thiamin",mg,0.180,
"Vitamin A, RAE",µg,4880,
"Vitamin A, IU",IU,36600,
Lipids
"Fatty acids, total saturated",g,1.170,
"Fatty acids, total monounsaturated",g,1.100,
"Fatty acids, total polyunsaturated",g,1.030,
Amino Acids
Other
