Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35074, Sourdock, young leaves (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,89.70,
"Energy",kcal,42,
"Protein",g,2.30,
"Total lipid (fat)",g,0.70,
"Carbohydrate, by difference",g,6.50,
Minerals
"Calcium, Ca",mg,2,
"Iron, Fe",mg,0.80,
"Phosphorus, P",mg,55,
Vitamins
"Vitamin C, total ascorbic acid",mg,68.0,
"Thiamin",mg,0.090,
"Riboflavin",mg,0.540,
"Niacin",mg,1.100,
"Vitamin A, IU",IU,11900,
Lipids
Amino Acids
Other
