Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35082, Walrus, meat and subcutaneous fat raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,58.90,
"Energy",kcal,282,
"Protein",g,16.30,
"Total lipid (fat)",g,24.10,
"Carbohydrate, by difference",g,0.00,
Minerals
"Iron, Fe",mg,9.40,
"Phosphorus, P",mg,125,
Vitamins
"Thiamin",mg,0.080,
"Riboflavin",mg,0.320,
"Vitamin A, IU",IU,550,
Lipids
Amino Acids
Other
