Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:24 EDT
"Nutrient data for: 35085, Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,2.90,
"Energy",kcal,870,
"Protein",g,0.40,
"Total lipid (fat)",g,96.50,
"Carbohydrate, by difference",g,0.00,
Minerals
"Iron, Fe",mg,0.50,
"Phosphorus, P",mg,5,
Vitamins
Lipids
"Cholesterol",mg,150,
Amino Acids
Other
