Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:25 EDT
"Nutrient data for: 35228, Sea lion, Steller, heart (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,76.20,
"Energy",kcal,102,
"Protein",g,17.00,
"Total lipid (fat)",g,3.30,
"Carbohydrate, by difference",g,1.00,
Minerals
"Calcium, Ca",mg,5,
"Iron, Fe",mg,6.70,
"Magnesium, Mg",mg,22,
"Phosphorus, P",mg,263,
"Potassium, K",mg,319,
"Sodium, Na",mg,115,
"Zinc, Zn",mg,2.24,
Vitamins
Lipids
Amino Acids
Other
