Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:25 EDT
"Nutrient data for: 35238, Tea, herbal, brewed, Hohoysi (Hopi)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,99.64,
"Energy",kcal,2,
"Protein",g,0.12,
"Total lipid (fat)",g,0.20,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,5,
"Iron, Fe",mg,0.03,
"Magnesium, Mg",mg,0,
"Phosphorus, P",mg,0,
"Potassium, K",mg,44,
"Sodium, Na",mg,27,
"Zinc, Zn",mg,0.05,
Vitamins
Lipids
Amino Acids
Other
