Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:26 EDT
"Nutrient data for: 45000041, Orville Redenbachers (Orv), OR 6/6CT 16.14Z SP KK, UNPREPARED, GTIN: 50027000523099"
Nutrient,Unit,"3.0 tbsp (38g) unpopped = 38.0g",1Value per 100 g,
Proximates
"Energy",kcal,130,342
"Protein",g,4.00,10.53
"Total lipid (fat)",g,2.00,5.26
"Carbohydrate, by difference",g,27.00,71.05
"Fiber, total dietary",g,4.0,10.5
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,0,0
"Iron, Fe",mg,0.72,1.89
"Potassium, K",mg,110,289
"Sodium, Na",mg,150,395
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total saturated",g,0.500,1.316
"Fatty acids, total monounsaturated",g,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.500,1.316
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
Ingredients
"Whole Grain Popping Corn, Palm Oil, Less than 2% of: Salt, Potassium Chloride, Sucralose, TBHQ and Citric Acid (for freshness)." Date available: 05/17/2011 Date last updated by company: 11/18/2014
