Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:27 EDT
"Nutrient data for: 45000070, Gulden's (Gul), Spicy Brown Mustard, 12/12 oz, UNPREPARED, GTIN: 50064144322874"
Nutrient,Unit,"1 tsp (5g) = 5.0g",1Value per 100 g,
Proximates
"Energy",kcal,5,100
"Protein",g,0.00,0.00
"Total lipid (fat)",g,0.00,0.00
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,0,0
"Iron, Fe",mg,0.00,0.00
"Potassium, K",mg,5,100
"Sodium, Na",mg,50,1000
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
Ingredients
"Vinegar, Mustard Seed, Salt, Spices, Turmeric." Date available: 10/18/2012 Date last updated by company: 01/01/2015
