Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:27 EDT
"Nutrient data for: 45001430, BOULDER GRANOLA, GRANOLA, CRANBERRY, UPC: 854738003143"
Nutrient,Unit,"1 serving = 28.0g","0.25 cup = 28.0g",1Value per 100 g,
Proximates
"Energy",kcal,140,140,500
"Protein",g,3.00,3.00,10.71
"Total lipid (fat)",g,8.00,8.00,28.57
"Carbohydrate, by difference",g,13.00,13.00,46.43
"Fiber, total dietary",g,3.0,3.0,10.7
"Sugars, total",g,3.00,3.00,10.71
Minerals
"Calcium, Ca",mg,60,60,214
"Iron, Fe",mg,1.08,1.08,3.86
"Sodium, Na",mg,25,25,89
Vitamins
"Vitamin C, total ascorbic acid",mg,1.2,1.2,4.3
"Vitamin A, IU",IU,100,100,357
Lipids
"Fatty acids, total saturated",g,1.498,1.498,5.350
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
Ingredients
"ORGANIC GLUTEN-FREE ROLLED OATS, ORGANIC EXPELLER PRESSED CANOLA OIL, ORGANIC SUNFLOWER SEEDS, ORGANIC RICE MILK POWDER (ORGANIC RICE SYRUP POWDER, ORGANIC RICE STARCH, ORGANIC RICE FLOUR), ORGANIC RICE STARCH, ORGANIC RICE FLOUR), ORGANIC GOLDEN FLAX SEEDS, ORGANIC DRIED CRANBERRIES (ORGANIC CRANBERRIES, ORGANIC EVAPORATED CANE JUICE, ORGANIC SUNFLOWER OIL), ORGANIC SESAME SEEDS, ORGANIC COCONUT, ORGANIC ALMONDS, ORGANIC MAPLE SYRUP." Date last updated by company: 06/15/2015
